service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
JAN12-JANDA12-Weekday-51,1,1,1,1,1,0,0,20120326,20120420
JAN12-JANSA12-Saturday-12,0,0,0,0,0,1,0,20120331,20120421
JAN12-JANSU12-Sunday-09,0,0,0,0,0,0,1,20120401,20120415
XMWK11-XMWK11-Weekday-01,1,1,1,1,1,0,0,20120409,20120409
APR12-APRSU12-Sunday-03,0,0,0,0,0,0,1,20120422,20120617
APR12-APRDA12-Weekday-08,1,1,1,1,1,0,0,20120423,20120622
APR12-APRSA12-Saturday-03,0,0,0,0,0,1,0,20120428,20120623
JAN12-201-Mon-Monday-01,1,0,0,0,0,0,0,20120326,20120416
JAN12-202-Tue-Tuesday-02,0,1,0,0,0,0,0,20120327,20120417
JAN12-203-Wed-Tuesday-03,0,1,0,0,0,0,0,20120328,20120418
JAN12-204-Thu-Tuesday-04,0,1,0,0,0,0,0,20120329,20120419
JAN12-205-Fri-Tuesday-05,0,1,0,0,0,0,0,20120330,20120420
APR12-201-Mon-Monday-02,1,0,0,0,0,0,0,20120423,20120618
APR12-202-Tue-Tuesday-03,0,1,0,0,0,0,0,20120424,20120619
APR12-203-Wed-Tuesday-04,0,1,0,0,0,0,0,20120425,20120620
APR12-204-Thu-Tuesday-05,0,1,0,0,0,0,0,20120426,20120621
APR12-205-Fri-Tuesday-06,0,1,0,0,0,0,0,20120427,20120622
