route_id,route_short_name,route_long_name,route_desc,route_type
1-135,1,Bank - - Rockcliffe,,3
1-136,1,Bank - - Rockcliffe,,3
1-138,1,Bank - - Rockcliffe,,3
2-135,2,Richmond - Somerset,,3
2-136,2,Richmond - Somerset,,3
2-138,2,Richmond - Somerset,,3
4-135,4,Bronson,,3
4-136,4,Bronson,,3
4-138,4,Bronson,,3
5-135,5,Billings -- Main -- Vanier,,3
5-136,5,Billings -- Main -- Vanier,,3
5-138,5,Billings -- Main -- Vanier,,3
6-135,6,Carling -- Glebe,,3
6-136,6,Carling -- Glebe,,3
7-135,7,Carleton --Bank -- St Laurent,,3
7-136,7,Carleton --Bank -- St Laurent,,3
7-138,7,Carleton --Bank -- St Laurent,,3
8-135,8,Gatineau -- Alta Vista,,3
8-136,8,Gatineau -- Alta Vista,,3
8-138,8,Gatineau -- Alta Vista,,3
9-135,9,Downtown -- Vanier,,3
9-136,9,Downtown -- Vanier,,3
9-138,9,Downtown -- Vanier,,3
12-135,12,Blair - Montreal - Downtown,,3
12-136,12,Blair - Montreal - Downtown,,3
12-138,12,Blair - Montreal - Downtown,,3
14-135,14,Carlington -- Gladstone -- McArthur,,3
14-136,14,Carlington -- Gladstone -- McArthur,,3
14-138,14,Carlington -- Gladstone -- McArthur,,3
16-135,16,Dovercourt -- Scott -- Main,,3
16-136,16,Dovercourt -- Scott -- Main,,3
16-138,16,Dovercourt -- Scott -- Main,,3
18-135,18,St.Laurent / Rideau Centre,,3
18-136,18,St.Laurent / Rideau Centre,,3
18-138,18,St.Laurent / Rideau Centre,,3
20-135,20,Express Fallingbrook,,3
20-136,20,Express Fallingbrook,,3
21-135,21,Express Queenswood Heights,,3
21-136,21,Express Queenswood Heights,,3
22-135,22,Express Fallingbrook,,3
22-136,22,Express Fallingbrook,,3
24-135,24,Peak/Pointe Beacon Hill,,3
24-136,24,Peak/Pointe Beacon Hill,,3
27-135,27,Express Gatineau -- Queenswood Heights,,3
27-136,27,Express Gatineau -- Queenswood Heights,,3
30-135,30,Express Chateau Neuf,,3
30-136,30,Express Chateau Neuf,,3
31-135,31,Express Chapel Hill,,3
31-136,31,Express Chapel Hill,,3
34-135,34,Express Chateau Neuf,,3
34-136,34,Express Chateau Neuf,,3
35-135,35,Express Fallingbrook,,3
35-136,35,Express Fallingbrook,,3
37-135,37,Express Convent Glen N,,3
37-136,37,Express Convent Glen N,,3
38-135,38,Express Jeanne D'Arc N,,3
38-136,38,Express Jeanne D'Arc N,,3
40-135,40,Peak/Pointe Gatineau -- Blossom Park,,3
40-136,40,Peak/Pointe Gatineau -- Blossom Park,,3
41-135,41,Peak/Pointe  Heatherington,,3
41-136,41,Peak/Pointe  Heatherington,,3
43-135,43,Peak/Pointe South Keys,,3
43-136,43,Peak/Pointe South Keys,,3
60-135,60,Express Morgans Grant,,3
60-136,60,Express Morgans Grant,,3
61-135,61,Express Bridlewood,,3
61-136,61,Express Bridlewood,,3
62-135,62,Express Hazeldean,,3
62-136,62,Express Hazeldean,,3
65-135,65,Express Beaverbrook,,3
65-136,65,Express Beaverbrook,,3
66-135,66,Express Bridlewood,,3
66-136,66,Express Bridlewood,,3
67-135,67,Peak/Pointe Trend Village,,3
67-136,67,Peak/Pointe Trend Village,,3
68-135,68,Express Marchwood,,3
68-136,68,Express Marchwood,,3
69-135,69,Express Bells Corners,,3
69-136,69,Express Bells Corners,,3
70-135,70,Express Barrhaven,,3
70-136,70,Express Barrhaven,,3
71-135,71,Express--Barhaven,,3
71-136,71,Express--Barhaven,,3
73-135,73,Express Barrhaven,,3
73-136,73,Express Barrhaven,,3
76-135,76,Express Barrhaven,,3
76-136,76,Express Barrhaven,,3
77-135,77,Express Longfields -- Davidson Heights,,3
77-136,77,Express Longfields -- Davidson Heights,,3
85-135,85,Carling -- Hurdman,,3
85-136,85,Carling -- Hurdman,,3
85-138,85,Carling -- Hurdman,,3
86-135,86,Meadowlands -- Southvale,,3
86-136,86,Meadowlands -- Southvale,,3
86-138,86,Meadowlands -- Southvale,,3
87-135,87,Carlingwood -- Transitway -- Riverside,,3
87-136,87,Carlingwood -- Transitway -- Riverside,,3
87-138,87,Carlingwood -- Transitway -- Riverside,,3
93-135,93,Lincoln Fields / Kanata North,,3
93-136,93,Lincoln Fields / Kanata North,,3
93-138,93,Lincoln Fields / Kanata North,,3
94-135,94,Transitway,,3
94-136,94,Transitway,,3
94-138,94,Transitway,,3
95-135,95,Transitway,,3
95-136,95,Transitway,,3
95-138,95,Transitway,,3
96-135,96,Transitway,,3
96-136,96,Transitway,,3
96-138,96,Transitway,,3
97-135,97,Transitway,,3
97-136,97,Transitway,,3
97-138,97,Transitway,,3
98-135,98,Transitway,,3
98-136,98,Transitway,,3
98-138,98,Transitway,,3
99-135,99,Riverside South - Greenboro,,3
99-136,99,Riverside South - Greenboro,,3
