route_id,service_id,trip_id,trip_headsign,block_id
201-125,JAN12-201-Mon-Monday-01,20519311-JAN12-201-Mon-Monday-01,"Richmond Stittsville",2620401
201-125,JAN12-201-Mon-Monday-01,20519312-JAN12-201-Mon-Monday-01,"Bayshore Carlingwd",2620401
202-125,JAN12-202-Tue-Tuesday-02,20519313-JAN12-202-Tue-Tuesday-02,"St Laurent Pl Orlns",2620402
202-125,JAN12-202-Tue-Tuesday-02,20519314-JAN12-202-Tue-Tuesday-02,"Cumberland",2620402
203-125,JAN12-203-Wed-Tuesday-03,20519315-JAN12-203-Wed-Tuesday-03,"Carlingwd Bayshore",2620403
203-125,JAN12-203-Wed-Tuesday-03,20519316-JAN12-203-Wed-Tuesday-03,"Dunrobin Stittsville",2620403
204-125,JAN12-204-Thu-Tuesday-04,20519317-JAN12-204-Thu-Tuesday-04,"Greely Metcalfe",2620404
204-125,JAN12-204-Thu-Tuesday-04,20519318-JAN12-204-Thu-Tuesday-04,"Billings Brdg S. Keys",2620404
205-125,JAN12-205-Fri-Tuesday-05,20519319-JAN12-205-Fri-Tuesday-05,"North Gower",2620405
205-125,JAN12-205-Fri-Tuesday-05,20519320-JAN12-205-Fri-Tuesday-05,"Carlingwood",2620405
1-125,JAN12-JANSA12-Saturday-12,20061301-JAN12-JANSA12-Saturday-12,"South Keys",2568021
1-125,JAN12-JANSA12-Saturday-12,20061302-JAN12-JANSA12-Saturday-12,"South Keys",2568147
1-125,JAN12-JANSA12-Saturday-12,20061303-JAN12-JANSA12-Saturday-12,"Ottawa-Rockcliffe",2568147
118-125,JAN12-JANSA12-Saturday-12,20061304-JAN12-JANSA12-Saturday-12,"Hurdman",2568024
1-125,JAN12-JANSA12-Saturday-12,20061305-JAN12-JANSA12-Saturday-12,"South Keys",2568053
1-125,JAN12-JANSA12-Saturday-12,20061306-JAN12-JANSA12-Saturday-12,"Ottawa-Rockcliffe",2568053
1-125,JAN12-JANSA12-Saturday-12,20061307-JAN12-JANSA12-Saturday-12,"South Keys",2568230
111-125,JAN12-JANSA12-Saturday-12,20061308-JAN12-JANSA12-Saturday-12,"Carleton",2568261
111-125,JAN12-JANSA12-Saturday-12,20061309-JAN12-JANSA12-Saturday-12,"Carleton",2568130
111-125,JAN12-JANSA12-Saturday-12,20061310-JAN12-JANSA12-Saturday-12,"Carleton",2568210
111-125,JAN12-JANSA12-Saturday-12,20061311-JAN12-JANSA12-Saturday-12,"Carleton",2568097
111-125,JAN12-JANSA12-Saturday-12,20061312-JAN12-JANSA12-Saturday-12,"Carleton",2568261
111-125,JAN12-JANSA12-Saturday-12,20061313-JAN12-JANSA12-Saturday-12,"Carleton",2568261
111-125,JAN12-JANSA12-Saturday-12,20061314-JAN12-JANSA12-Saturday-12,"Carleton",2568261
111-125,JAN12-JANSA12-Saturday-12,20061315-JAN12-JANSA12-Saturday-12,"Carleton",2568261
111-125,JAN12-JANSA12-Saturday-12,20061316-JAN12-JANSA12-Saturday-12,"Baseline",2568066
111-125,JAN12-JANSA12-Saturday-12,20061317-JAN12-JANSA12-Saturday-12,"Baseline",2568130
111-125,JAN12-JANSA12-Saturday-12,20061318-JAN12-JANSA12-Saturday-12,"Baseline",2568210
111-125,JAN12-JANSA12-Saturday-12,20061319-JAN12-JANSA12-Saturday-12,"Baseline",2568130
111-125,JAN12-JANSA12-Saturday-12,20061320-JAN12-JANSA12-Saturday-12,"Baseline",2568261
111-125,JAN12-JANSA12-Saturday-12,20061321-JAN12-JANSA12-Saturday-12,"Baseline",2568041
111-125,JAN12-JANSA12-Saturday-12,20061322-JAN12-JANSA12-Saturday-12,"Baseline",2568066
111-125,JAN12-JANSA12-Saturday-12,20061323-JAN12-JANSA12-Saturday-12,"Baseline",2568066
111-125,JAN12-JANSA12-Saturday-12,20061324-JAN12-JANSA12-Saturday-12,"Carleton",2568210
111-125,JAN12-JANSA12-Saturday-12,20061325-JAN12-JANSA12-Saturday-12,"Carleton",2568210
111-125,JAN12-JANSA12-Saturday-12,20061326-JAN12-JANSA12-Saturday-12,"Carleton",2568130
111-125,JAN12-JANSA12-Saturday-12,20061327-JAN12-JANSA12-Saturday-12,"Carleton",2568310
111-125,JAN12-JANSA12-Saturday-12,20061328-JAN12-JANSA12-Saturday-12,"Carleton",2568314
111-125,JAN12-JANSA12-Saturday-12,20061329-JAN12-JANSA12-Saturday-12,"Carleton",2568066
111-125,JAN12-JANSA12-Saturday-12,20061330-JAN12-JANSA12-Saturday-12,"Carleton",2568210
111-125,JAN12-JANSA12-Saturday-12,20061331-JAN12-JANSA12-Saturday-12,"Carleton",2568210
111-125,JAN12-JANSA12-Saturday-12,20061332-JAN12-JANSA12-Saturday-12,"Baseline",2568084
